target_transcript_id,partner_transcript_id,or_threshold_target,or_threshold_partner,and_threshold
ENST00000085219.9,ENST00000287908.7,4.6189,3.0602,0.34711317792003865
ENST00000085219.9,ENST00000360110.8,4.6189,5.5717,0.4324344727624109
ENST00000085219.9,ENST00000284240.9,4.6189,8.0469,0.6165146756854694
ENST00000085219.9,ENST00000383671.7,4.6189,2.0147,0.36322099694252635
ENST00000085219.9,ENST00000272771.9,4.6189,4.5748,0.6639696678337537
ENST00000085219.9,ENST00000276431.8,4.6189,5.2064,0.44969199178644764
ENST00000085219.9,ENST00000326577.8,4.6189,7.2524,0.44008938277569754
ENST00000085219.9,ENST00000328596.10,4.6189,-0.7108,-0.4341028459753268
ENST00000085219.9,ENST00000379236.3,4.6189,4.1036,0.44008938277569754
ENST00000085219.9,ENST00000293825.10,4.6189,5.8543,0.6425292909771712
ENST00000085219.9,ENST00000367351.3,4.6189,3.0038,0.41854390626887306
ENST00000085219.9,ENST00000302273.2,4.6189,-9.9658,0.697381930184805
ENST00000085219.9,ENST00000328189.7,4.6189,2.1862,0.264377656159232
ENST00000606017.1,ENST00000226279.7,9.8597,3.1327,0.5480558462844842
ENST00000606017.1,ENST00000296129.5,9.8597,2.8542,0.8152760718672342
ENST00000606017.1,ENST00000027335.7,9.8597,-2.1779,-0.2706440829615638
ENST00000606017.1,ENST00000328796.4,9.8597,-0.5973,-0.7510308028134852
ENST00000606017.1,ENST00000072516.7,9.8597,3.5362,0.5057663066016311
ENST00000606017.1,ENST00000345732.8,9.8597,-1.8836,0.9735283082209364
ENST00000606017.1,ENST00000397910.8,9.8597,-0.8084,-0.588569348380051
ENST00000606017.1,ENST00000368012.3,9.8597,2.9262,0.5520427594564182
ENST00000606017.1,ENST00000257770.7,9.8597,3.7582,0.7759076429523529
ENST00000606017.1,ENST00000371079.5,9.8597,0.537,0.28804376977954194
ENST00000606017.1,ENST00000254351.8,9.8597,8.1131,0.845867242990128
ENST00000311330.3,ENST00000226279.7,6.5412,3.1327,0.7239489528122265
ENST00000311330.3,ENST00000296129.5,6.5412,2.8542,0.6674283755605701
ENST00000311330.3,ENST00000027335.7,6.5412,-2.1779,-0.2706440829615638
ENST00000311330.3,ENST00000328796.4,6.5412,-0.5973,-0.7243512005821005
ENST00000311330.3,ENST00000072516.7,6.5412,3.5362,0.5973551217259692
ENST00000311330.3,ENST00000345732.8,6.5412,-1.8836,0.8390241399656244
ENST00000311330.3,ENST00000397910.8,6.5412,-0.8084,-0.588569348380051
ENST00000311330.3,ENST00000368012.3,6.5412,2.9262,0.6012291179780144
ENST00000311330.3,ENST00000257770.7,6.5412,3.7582,0.6243589453945733
ENST00000311330.3,ENST00000371079.5,6.5412,0.537,0.28804376977954194
ENST00000311330.3,ENST00000254351.8,6.5412,8.1131,0.6836186809847026
ENST00000301573.13,ENST00000263735.8,1.8323,7.1896,0.5518692035567453
ENST00000301573.13,ENST00000261170.4,1.8323,-2.9324,0.583962775281257
ENST00000301573.13,ENST00000283249.6,1.8323,5.2799,0.47894240520968634
ENST00000301573.13,ENST00000334409.9,1.8323,2.8055,0.31130510456609833
ENST00000301573.13,ENST00000317338.16,1.8323,4.0575,-1.7763011122796952
ENST00000301573.13,ENST00000357585.3,1.8323,4.5442,-0.043880759569272926
ENST00000226279.7,ENST00000313421.11,3.1327,3.3221,0.4727592892335604
ENST00000226279.7,ENST00000265071.2,3.1327,4.6023,0.3677757321540418
ENST00000226279.7,ENST00000295522.3,3.1327,6.3686,0.5201976020171871
ENST00000226279.7,ENST00000183605.9,3.1327,7.9256,0.7615911079092265
ENST00000226279.7,ENST00000395145.3,3.1327,6.5652,0.6070086965471105
ENST00000226279.7,ENST00000397459.6,3.1327,-0.6193,-0.40434839383651083
ENST00000226279.7,ENST00000286301.7,3.1327,5.3481,0.6868653829744874
ENST00000226279.7,ENST00000360534.7,3.1327,5.6904,0.6276544710246899
ENST00000226279.7,ENST00000358432.7,3.1327,5.5008,0.706036745406824
ENST00000226279.7,ENST00000336596.6,3.1327,2.5972,0.30912770619035246
ENST00000226279.7,ENST00000188790.8,3.1327,2.5238,0.49467400813049967
ENST00000226279.7,ENST00000342879.7,3.1327,0.8408,0.29798345398138576
ENST00000226279.7,ENST00000367868.3,3.1327,2.0638,0.5071785107806308
ENST00000226279.7,ENST00000264039.6,3.1327,6.7136,0.6253795090824885
ENST00000226279.7,ENST00000370818.7,3.1327,7.308,0.7239489528122265
ENST00000226279.7,ENST00000258733.8,3.1327,6.6368,0.712705192198837
ENST00000226279.7,ENST00000377741.3,3.1327,1.7489,0.43767078724788555
ENST00000226279.7,ENST00000304411.2,3.1327,5.119,0.5907476972160757
ENST00000226279.7,ENST00000357759.9,3.1327,-2.114,0.8060258323470384
ENST00000226279.7,ENST00000243213.1,3.1327,2.9432,0.3775303643724697
ENST00000226279.7,ENST00000331035.8,3.1327,5.6531,0.696763122264555
ENST00000226279.7,ENST00000007722.11,3.1327,1.934,-0.018653836257911796
ENST00000226279.7,ENST00000559488.5,3.1327,3.9608,0.5482835877572719
ENST00000226279.7,ENST00000200181.7,3.1327,0.4125,0.1381670354551536
ENST00000226279.7,ENST00000288135.5,3.1327,4.6747,0.6227887700965926
ENST00000226279.7,ENST00000266674.9,3.1327,2.3677,0.23686958003963096
ENST00000226279.7,ENST00000292494.10,3.1327,8.1695,0.748469098955385
ENST00000226279.7,ENST00000295408.8,3.1327,0.8883,0.23254258220552668
ENST00000226279.7,ENST00000397747.4,3.1327,3.1971,0.5525652241033294
ENST00000226279.7,ENST00000305817.2,3.1327,-2.3147,-1.1786841837254305
ENST00000226279.7,ENST00000340058.5,3.1327,1.1577,0.16140835908277767
ENST00000226279.7,ENST00000412532.6,3.1327,5.981,0.7471974119136366
ENST00000226279.7,ENST00000382051.7,3.1327,9.7873,0.8013430762105695
ENST00000226279.7,ENST00000400286.2,3.1327,2.1345,0.3991663664899912
ENST00000226279.7,ENST00000297205.6,3.1327,5.4835,0.6242734691481243
ENST00000226279.7,ENST00000263932.6,3.1327,0.03,-0.0076380080516185965
ENST00000226279.7,ENST00000338469.3,3.1327,1.196,0.27203725621365715
ENST00000372276.7,ENST00000263735.8,3.4765,7.1896,0.6398079924145152
ENST00000372276.7,ENST00000261170.4,3.4765,-2.9324,0.6867431799774807
ENST00000372276.7,ENST00000283249.6,3.4765,5.2799,0.4274341702388243
ENST00000372276.7,ENST00000334409.9,3.4765,2.8055,0.41241739414212286
ENST00000372276.7,ENST00000317338.16,3.4765,4.0575,-0.17507852162060725
ENST00000372276.7,ENST00000357585.3,3.4765,4.5442,0.17547359895699585
ENST00000263398.10,ENST00000263735.8,6.9255,7.1896,0.8152751221584873
ENST00000263398.10,ENST00000261170.4,6.9255,-2.9324,0.9095625221628295
ENST00000263398.10,ENST00000283249.6,6.9255,5.2799,0.766685052399338
ENST00000263398.10,ENST00000334409.9,6.9255,2.8055,0.6055859236898643
ENST00000263398.10,ENST00000317338.16,6.9255,4.0575,0.3711535178156315
ENST00000263398.10,ENST00000357585.3,6.9255,4.5442,0.43986813937300534
ENST00000368045.3,ENST00000263735.8,1.5709,7.1896,0.39091279128930495
ENST00000368045.3,ENST00000261170.4,1.5709,-2.9324,0.3996387503816017
ENST00000368045.3,ENST00000283249.6,1.5709,5.2799,0.3479953190190292
ENST00000368045.3,ENST00000334409.9,1.5709,2.8055,0.28281774702350665
ENST00000368045.3,ENST00000317338.16,1.5709,4.0575,-1.0922458532614225
ENST00000368045.3,ENST00000357585.3,1.5709,4.5442,-0.03500974932808684
ENST00000347785.7,ENST00000263735.8,3.3633,7.1896,0.5974048576732673
ENST00000347785.7,ENST00000261170.4,3.3633,-2.9324,0.650390625
ENST00000347785.7,ENST00000283249.6,3.3633,5.2799,0.421276444317919
ENST00000347785.7,ENST00000334409.9,3.3633,2.8055,0.49286432549504955
ENST00000347785.7,ENST00000317338.16,3.3633,4.0575,-0.23373362902213482
ENST00000347785.7,ENST00000357585.3,3.3633,4.5442,0.22302246737049203
ENST00000313421.11,ENST00000296129.5,3.3221,2.8542,0.5314062098317576
ENST00000313421.11,ENST00000027335.7,3.3221,-2.1779,-0.3512072672142759
ENST00000313421.11,ENST00000328796.4,3.3221,-0.5973,-0.8619936939121998
ENST00000313421.11,ENST00000072516.7,3.3221,3.5362,0.4346952206470892
ENST00000313421.11,ENST00000345732.8,3.3221,-1.8836,0.5909001974351221
ENST00000313421.11,ENST00000397910.8,3.3221,-0.8084,-0.588569348380051
ENST00000313421.11,ENST00000368012.3,3.3221,2.9262,0.42973686488358004
ENST00000313421.11,ENST00000257770.7,3.3221,3.7582,0.46238949858593764
ENST00000313421.11,ENST00000371079.5,3.3221,0.537,0.17330901678914337
